X8	X14	X30	X33	X36	X40	X43	X44	X45	X46	X48	X55	X58	X63	X73	X81	X84	X85	X88	X89	X90	X96	X98	X100	X104	X106	X109	X110	X111	X113	X121	X122	X126	X129	X135	X136	X139	X140	X141	X145	X151	X152	X153	X154	X159	X164	X168	X171	X173	X181	X185	X189	X190	X194	X210	X213	X220	X227	X229	X232	X233	X239	X242	X247	X248	X249	X255	X277	X280	X281	X289	X293	X295	X299	X302	X306	X326	X339	X347	X359	X364	X372	X378	X384	X386	X396	X403	X404	X441	X452	X462	X469	X470	X477	X481	X486	X490	X496	X499	X516	X521	X523	X526	X534	X540	X542	X552	X564	X572	X585	X586	X591	X593	X607	X608	X610	X613	X646	X649	X651	X653	X655	X666	X668	X673	X675	X678	X682	X690	X696	X704	X706	X710	X715	X725	X736	X745	X762	X765	X797	X800	X807	X820	X822	X823	X824	X831	X834	X836	X849	X854	X858	X872	X875	X883	X927	X941	X945	X946	X954	X973	X975	X1005	X1018	X1019	X1022	X1030	X1035	X1037	X1050	X1077	X1081	X1086	X1097	X1109	X1114	X1162	X1169	X1190	X1227	X1231
Wahkontah_MO_Nat1	14	427	203	421	0	0	57	181	160	58	132	0	125	134	0	0	162	1	0	73	19	266	0	65	0	12	0	35	97	0	34	0	198	91	0	0	42	0	0	72	0	0	0	0	9	43	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	215	0	9	0	0	0	25	0	0	0	17	18	0	1	184	86	0	0	0	33	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	4	0	0	0	0	0	0	0	0	29	0	0	22	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taberville_MO_Nat1	105	265	611	1317	8	1	48	243	46	55	104	0	13	303	0	0	96	344	0	38	186	5	1	17	0	11	2	2	3	1	18	3	0	0	0	0	14	0	1	8	0	0	0	0	20	13	19	11	8	0	0	29	0	1	0	36	179	0	0	1	0	0	0	0	1	1	0	1	0	0	0	2	0	0	1	4	0	73	0	0	0	0	0	2	2	0	3	0	3	1	7	0	0	0	0	0	0	0	0	0	163	0	0	8	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	38	6	37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	32	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
Taberville_MO_Nat2	24	840	1444	738	0	7	24	608	417	98	62	0	0	664	0	0	1244	67	0	20	174	0	0	174	0	3	0	1620	33	0	334	210	805	0	0	123	67	0	0	164	0	0	0	0	97	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	247	0	0	0	3	0	1	0	50	9	5	1	24	0	6	0	9	117	0	0	0	8	1	1	0	0	0	0	0	0	1	0	1	17	0	0	40	0	0	0	0	0	370	0	0	0	0	4	0	0	0	1	222	0	1	0	6	0	0	11	0	14	0	0	0	2	0	0	12	0	8	0	0	4	0	100	0	0	0	0	0	0	0	0	0	2	0	0	72	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	2
Morris_MO_Nat5	2	381	77	1618	0	1342	68	25	2093	1083	574	0	3	20	1	0	58	128	0	596	789	73	0	87	0	3	0	395	89	0	102	0	193	8	0	0	50	0	0	1789	0	0	0	0	29	10	0	1	0	0	0	0	0	0	0	0	26	2	0	0	0	0	0	20	0	1	0	135	0	0	1	28	0	78	0	55	17	15	0	0	1	0	1	16	1	1	0	0	0	2	0	0	0	0	0	0	16	1	0	14	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	9	0	0	1	1	0	0	0	0	0	0	2	0	2	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Morris_MO_Nat2	66	632	487	1015	0	1075	614	133	118	445	432	0	53	208	0	0	748	0	0	408	104	55	0	93	0	42	0	489	32	0	86	0	1	286	0	0	73	0	0	40	0	0	0	0	31	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	149	0	0	0	13	0	30	0	14	28	0	0	0	0	0	0	1	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0
IL_Rte_54_IL_Dist4	82	585	2	29	1038	1	67	23	2	41	18	0	114	0	10	0	130	1	0	24	102	0	15	98	0	8	0	0	58	91	134	115	0	0	0	0	54	0	0	0	0	0	0	0	101	0	0	9	124	0	0	0	22	13	0	0	0	0	0	96	1	0	0	0	2	0	8	0	0	0	0	29	0	0	0	0	19	0	0	0	0	0	0	10	7	0	0	0	0	0	55	0	7	0	0	0	0	107	0	3	0	0	0	0	6	0	0	0	0	0	0	231	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	27	0	0	0	0
IL_Rte_54_IL_Dist2	10	191	4	29	16	1	15	14	1	41	26	0	10	5	7	0	0	1	0	5	1	0	23	9	1	6	0	0	54	4	17	25	1	0	0	0	6	0	0	1	0	0	0	0	41	0	0	0	226	0	0	0	16	10	0	0	0	0	0	111	0	0	0	1	0	0	0	0	0	0	2	14	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
IL_Rte_54_IL_Dist3	1	246	5	3	0	0	168	16	0	16	1	0	18	3	0	0	87	2	0	7	0	1	170	22	0	40	0	0	43	0	17	14	0	0	0	0	15	0	0	0	0	0	0	0	49	1	0	3	191	0	0	0	1	5	0	3	0	0	0	86	0	0	0	0	10	1	0	1	0	0	1	8	0	0	0	0	8	0	0	1	0	0	7	0	19	0	0	0	2	0	2	0	6	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	14	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
East_Paxton_IL_Dist3	30	443	66	40	23	0	303	61	5	14	48	0	102	15	8	0	1	1	0	6	0	2	96	38	10	73	0	0	81	9	50	8	1	1	10	0	19	124	0	2	0	0	0	2	84	1	0	0	0	0	0	0	150	91	1	0	0	0	28	0	4	0	1	0	11	6	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	1	1	41	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	12	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
East_Paxton_IL_Dist4	160	666	49	322	2	1	197	42	13	31	113	0	190	16	28	0	7	7	0	31	5	0	123	123	35	145	1	3	220	21	67	67	1	0	20	1	42	62	17	1	95	0	0	0	69	1	10	2	8	1	0	5	26	29	0	2	2	0	13	3	0	0	0	0	52	1	1	0	0	0	2	0	0	0	1	0	0	6	0	0	0	0	0	17	1	0	10	1	24	0	0	0	0	2	0	0	0	1	0	0	9	1	0	1	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	58	0	0	79	0	0	0	0	0	1	0	0	1	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
East_Paxton_IL_Dist2	77	455	123	9	4	2	16	80	14	0	6	3	9	84	1	1	0	1	0	8	1	0	0	68	0	17	4	4	106	0	15	6	0	1	11	0	11	0	22	2	20	1	0	0	53	0	0	0	0	0	0	1	73	0	0	0	5	0	2	0	0	5	0	0	0	0	0	0	0	0	0	8	0	0	0	0	30	0	1	0	0	0	0	2	0	0	0	1	10	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Chanute_PP_2	38	299	4010	5	133	0	6	35	5	14	1	3	0	2	4	0	0	0	7757	1	0	1	1	7	86	7	54	0	0	15	1	0	0	0	1	0	6	1	4	0	31	51	1	526	0	0	0	0	0	0	32	0	0	1	0	0	0	0	152	0	0	0	1	0	1	0	10	0	0	981	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	0	0	8	29	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	180	0	1	1	0	0	0	17	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Chanute_PP_3	74	48	125	0	0	0	22	4	0	52	0	0	41	0	0	0	0	0	0	0	0	0	0	0	490	65	0	0	0	138	0	0	0	0	12	0	0	0	0	0	654	0	0	1511	0	0	0	0	0	0	84	0	0	0	0	0	0	0	54	0	0	0	0	1	17	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	27	0	0	0	16	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	21	9	0	0	0	0	0	1	0	0	0	0	0	0	47	0	0	0	0	0	0	0	19	0	0	186	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chanute_Dump_3	8	4	476	0	1	0	7	4	0	26	0	0	1	4	0	0	0	0	725	0	0	0	0	0	122	3	0	0	0	119	0	10	0	0	11	0	0	8	6	0	12	5	0	211	0	0	0	0	57	17	2	0	90	0	5	0	84	0	0	48	0	0	0	0	0	0	0	0	0	149	67	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	67	9	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	1	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chanute_Dump_2	109	4859	1504	0	4	0	1	1015	3	57	0	6	0	7	0	0	0	0	4	0	0	0	0	24	334	0	50	0	0	34	0	128	0	0	396	0	3	0	0	0	72	92	1	1	0	0	0	0	33	0	7	0	1	0	0	0	35	0	0	64	0	0	0	0	0	0	15	0	0	222	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	90	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	39	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Chanute_Loda_1	34	6	6	643	155	0	566	1	52	98	265	2	499	1	135	0	0	0	1	188	0	0	195	0	54	310	96	0	0	97	0	63	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	16	0	0	0	0	722	0	0	0	0	0	0	0	0	0	1	1	222	0	0	0	0	1	0	10	0	0	0	0	22	0	0	0	0	0	0	0	0	0	14	0	3	0	0	0	0	19	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	73	2	0	55	0	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	103	0	0	0	0	0	0	16	0	1	0	0
Chanute_Loda_2	272	8	3	232	7	0	553	0	2	119	118	0	122	0	61	0	0	0	2	84	0	158	21	0	21	180	0	0	0	34	1	51	0	0	0	0	1	0	70	0	419	0	0	1	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	3	2	80	0	4	0	0	1	21	21	0	0	0	0	8	0	0	0	0	0	0	1	0	0	43	0	8	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0
Chanute_Paxton_1	178	106	0	458	207	0	1647	2	15	249	162	0	65	0	0	0	0	0	0	147	0	146	94	0	0	234	0	49	0	0	56	83	0	29	0	0	22	1	337	0	3	0	0	1	0	0	0	61	0	0	0	0	197	77	0	0	0	0	0	0	0	0	133	454	323	0	36	31	0	0	44	143	0	0	50	0	184	0	0	0	0	0	0	28	0	0	1	0	21	79	46	0	0	0	36	12	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	31	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	14	0	0	0	0	0	0	5	0	0	6	0	0	0	0	0	0	6	0	2	0	0	0	0	58	3	0	0
Chanute_Short_Line_1	1	583	1	143	0	5	28	140	18	0	108	0	12	6	128	0	1708	0	0	66	61	340	131	127	0	12	0	0	134	0	178	1	0	0	0	3	162	4	0	0	1	0	0	0	86	53	0	282	21	1	0	0	49	0	0	0	0	0	0	10	7	0	0	0	8	2	0	0	0	0	0	20	0	2	0	0	64	0	0	0	0	0	0	27	69	0	0	0	0	15	0	0	0	29	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	72	0	82	4	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Chanute_Pellsville_1	19	34	30	45	0	890	70	21	51	182	85	0	33	15	91	0	82	0	0	13	101	23	2	2	1	13	0	361	26	23	6	0	0	68	34	56	6	0	70	47	4	0	0	0	3	74	0	25	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	12	5	22	4	86	0	0	4	8	0	2	11	0	2	0	0	0	15	7	10	0	6	0	1	0	0	0	14	0	0	7	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	1	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0
Chanute_Pellsville_2	11	0	7	188	0	14165	194	0	62	306	37	0	137	0	1	0	1314	0	0	44	354	83	0	0	0	13	0	328	0	85	0	0	0	33	93	3767	1	0	101	34	0	0	0	0	2	1489	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	262	0	1	6	0	0	1010	0	201	0	0	0	0	0	882	0	0	114	0	0	0	13	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
